Thumb,Index,Middle,Ring,Pinky,Letter
352,1664,4095,1089,2637,G
403,1622,4073,1008,2609,G
317,1615,4029,1040,2637,G
330,1519,4095,1104,2541,G
314,1389,3973,981,2638,G
361,1314,4073,1075,2607,G
214,1391,3983,1038,2631,G
279,1280,4095,1075,2438,G
391,1214,4095,1039,2443,G
193,1211,4095,1023,2412,G
332,1250,4095,1057,2488,G
307,1283,4079,949,2601,G
255,1275,4095,1001,2514,G
352,1342,4095,1054,2509,G
393,1347,4095,1057,2548,G
303,1298,4095,1051,2510,G
278,1343,4073,1041,2571,G
330,1313,4095,1042,2608,G
241,1317,4095,1073,2543,G
311,1370,4095,1036,2589,G
255,1360,3978,988,2685,G
236,1375,4095,1038,2656,G
362,1367,4041,1072,2607,G
260,1383,3993,1072,2594,G
279,1338,3845,1030,2653,G
258,1328,3919,976,2704,G
366,1365,3901,993,2745,G
299,1269,4066,973,2735,G
208,1303,4028,1010,2693,G
282,1334,3952,999,2723,G
254,1382,4058,1054,2701,G
304,1379,4019,1066,2635,G
258,1399,3918,1011,2720,G
385,1422,3854,976,2638,G
365,1301,3923,975,2656,G
365,1232,3962,1011,2585,G
368,1362,3934,995,2639,G
368,1283,3982,1019,2623,G
411,1211,4023,977,2651,G
385,1417,3709,1002,2624,G
400,1393,3804,989,2662,G
462,1411,3858,1083,2657,G
449,1426,3835,1008,2717,G
434,1435,3949,1008,2611,G
488,1424,3881,1031,2593,G
340,1426,3814,1035,2557,G
362,1473,3743,1017,2590,G
349,1429,3792,955,2672,G
415,1401,3621,976,2665,G
487,1444,3611,957,2640,G
430,1454,3617,1005,2664,G
437,1445,3638,997,2640,G
394,1417,3726,995,2544,G
432,1408,3717,983,2581,G
496,1435,3707,897,2695,G
464,1427,3711,958,2686,G
347,1433,3711,978,2687,G
139,1306,3791,862,2737,G
0,1408,3759,929,2753,G
0,1407,3910,973,2654,G
0,1408,3989,975,2648,G
0,1406,4051,941,2599,G
0,1458,3824,944,2662,G
0,1426,3920,933,2581,G
35,1388,3571,907,2678,G
139,1440,3760,887,2603,G
144,1353,3934,912,2593,G
176,1387,3822,880,2640,G
52,1456,3787,861,2618,G
65,1489,3746,855,2591,G
49,1454,3824,880,2519,G
142,1524,3789,857,2589,G
67,1525,3790,843,2544,G
147,1458,3653,831,2603,G
80,1505,3706,907,2744,G
112,1510,3664,853,2557,G
120,1547,3696,713,2483,G
108,1579,3680,720,2529,G
90,1600,3655,674,2573,G
121,1579,3551,676,2570,G
147,1566,3757,663,2578,G
118,1605,3542,667,2630,G
77,1551,3539,707,2497,G
141,1584,3525,659,2545,G
115,1552,3635,711,2443,G
184,1591,3507,672,2512,G
123,1558,3559,653,2491,G
159,1582,3526,657,2523,G
143,1566,3573,683,2454,G
197,1579,3567,720,2576,G
191,1507,3632,695,2576,G
205,1645,3473,656,2607,G
241,1565,3613,699,2496,G
177,1581,3553,618,2576,G
222,1599,3575,690,2556,G
151,1616,3426,709,2605,G
73,1588,3506,711,2541,G
128,1568,3655,710,2521,G
180,1553,3470,720,2538,G
102,1551,3456,741,2500,G
134,1615,3392,722,2501,G
98,1579,3440,740,2453,G
197,1582,3511,694,2501,G
154,1614,3349,704,2573,G
222,1610,3422,711,2589,G
119,1587,3603,677,2543,G
118,1590,3569,706,2475,G
158,1603,3539,720,2439,G
187,1634,3467,675,2473,G
149,1664,3498,689,2461,G
240,1612,3545,731,2439,G
188,1594,3603,695,2435,G
235,1562,3536,759,2359,G
229,1526,3594,768,2341,G
115,1504,3525,748,2329,G
207,1456,3507,725,2402,G
197,1456,3502,717,2393,G
209,1503,3504,739,2371,G
273,1424,3543,759,2396,G
193,1459,3505,731,2384,G
95,1299,3613,707,2366,G
81,1270,3405,752,2354,G
173,1381,3425,610,2064,G
112,1279,3461,757,2343,G
132,1328,3479,699,2416,G
170,1328,3479,734,2426,G
125,1312,3482,717,2362,G
211,1386,3355,703,2426,G
131,1338,3429,745,2383,G
151,1386,3292,708,2428,G
65,1362,3446,705,2391,G
126,1371,3314,695,2389,G
72,1298,3191,752,2389,G
0,1379,3368,742,2374,G
69,1393,3389,747,2366,G
34,1402,3357,691,2363,G
10,1360,3338,720,2407,G
80,1347,3312,726,2405,G
11,1399,3286,732,2464,G
107,1405,3291,750,2442,G
91,1394,3399,848,2398,G
7,1424,3375,741,2407,G
71,1476,3280,720,2448,G
107,1429,3264,706,2437,G
97,1456,3245,726,2380,G
115,1474,3340,720,2427,G
145,1456,3351,717,2449,G
80,1479,3283,759,2485,G
126,1515,3280,752,2491,G
145,1470,3318,723,2502,G
64,1457,3383,769,2482,G
45,1489,3299,775,2470,G
112,1511,3296,738,2511,G
14,1487,3312,725,2526,G
77,1501,3248,697,2537,G
129,1450,3286,716,2576,G
11,1441,3395,752,2514,G
118,1429,3312,718,2581,G
82,1502,3309,727,2512,G
25,1483,3311,717,2525,G
153,1409,3284,727,2544,G
144,1334,3216,742,2544,G
113,1290,3251,720,2533,G
174,1213,3140,735,2547,G
29,1328,3307,737,2505,G
77,1395,3216,721,2513,G
21,1408,3262,717,2474,G
16,1455,3323,754,2470,G
100,1355,3334,627,2527,G
159,1481,3205,768,2467,G
83,1441,3184,727,2493,G
49,1424,3129,720,2470,G
147,1516,3111,699,2449,G
