Thumb,Index,Middle,Ring,Pinky,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Letter
0,1994,1904,1053,1890,9.45,-2.33,-3.98,0.10,-0.05,0.16,0
0,1851,1712,1023,1647,9.73,-2.66,-0.63,-0.22,0.07,0.08,0
0,1824,1717,848,1362,9.68,-2.76,-0.75,0.08,-0.18,-0.08,0
0,1887,1679,1004,1619,9.42,-2.27,-1.94,-0.03,-0.14,-0.09,0
0,1893,1661,1022,1641,9.61,-2.42,-1.31,-0.19,0.07,0.03,0
0,1840,1680,1035,1600,9.52,-2.40,-1.60,-0.04,-0.02,-0.01,0
0,1872,1680,993,1510,9.50,-2.64,-1.56,-0.10,0.00,0.01,0
0,1890,1666,982,1508,9.53,-2.49,-1.66,-0.08,0.01,-0.02,0
0,1869,1651,1005,1552,9.66,-2.49,-1.61,-0.11,0.03,-0.01,0
0,1850,1657,994,1552,9.62,-2.42,-1.57,-0.10,0.02,-0.00,0
0,1855,1643,991,1505,9.48,-2.38,-1.53,-0.11,0.04,0.01,0
0,1845,1673,996,1488,9.56,-2.52,-1.55,-0.11,0.04,-0.02,0
0,1822,1651,976,1487,9.57,-2.42,-1.43,-0.10,0.05,-0.01,0
0,1798,1634,1001,1552,9.61,-2.58,-1.49,-0.07,0.05,0.00,0
0,1831,1626,960,1510,9.51,-2.47,-1.37,-0.06,0.05,-0.03,0
0,1801,1662,972,1559,9.55,-2.52,-1.27,-0.03,0.01,-0.02,0
0,1812,1631,962,1529,9.67,-2.44,-1.38,-0.01,-0.03,-0.03,0
0,1846,1611,935,1552,9.64,-2.46,-1.28,-0.00,0.01,-0.03,0
0,1827,1600,950,1502,9.62,-2.53,-1.42,-0.01,-0.00,-0.06,0
0,1825,1598,981,1545,9.65,-2.49,-1.44,0.06,-0.04,-0.06,0
0,1781,1520,945,1470,9.63,-2.59,-1.58,0.11,-0.07,-0.05,0
0,1783,1600,977,1479,9.57,-2.48,-1.63,-0.05,-0.05,-0.05,0
0,1831,1600,976,1479,9.60,-2.31,-1.58,0.02,-0.05,-0.02,0
0,1816,1555,992,1534,9.44,-2.52,-1.78,-0.04,-0.02,-0.01,0
0,1799,1552,977,1480,9.50,-2.54,-1.54,-0.12,0.01,-0.01,0
0,1786,1587,1008,1456,9.61,-2.44,-1.62,-0.10,0.00,-0.00,0
0,1776,1557,977,1455,9.52,-2.58,-1.60,-0.11,0.01,0.02,0
0,1772,1547,985,1467,9.56,-2.62,-1.61,-0.08,-0.01,0.01,0
0,1771,1595,961,1433,9.61,-2.54,-1.66,-0.11,0.02,-0.01,0
0,1758,1570,945,1427,9.55,-2.51,-1.47,-0.10,0.02,0.00,0
0,1789,1615,916,1424,9.46,-2.55,-1.45,-0.09,0.03,-0.01,0
0,1753,1565,923,1409,9.46,-2.39,-1.49,-0.08,-0.01,-0.01,0
0,1810,1597,930,1419,9.57,-2.54,-1.71,-0.09,0.01,0.00,0
0,1779,1530,928,1403,9.59,-2.52,-1.62,-0.12,0.02,-0.00,0
0,1808,1585,925,1376,9.59,-2.49,-1.58,-0.11,0.01,-0.00,0
0,1795,1569,944,1407,9.55,-2.50,-1.61,-0.12,0.02,-0.02,0
0,1793,1552,922,1377,9.55,-2.52,-1.61,-0.11,0.00,0.00,0
0,1807,1564,870,1354,9.51,-2.50,-1.65,-0.08,0.00,-0.01,0
0,1780,1549,869,1351,9.60,-2.49,-1.61,-0.08,0.02,-0.01,0
0,1782,1530,924,1349,9.58,-2.63,-1.65,-0.11,-0.00,-0.01,0
0,1766,1521,903,1368,9.53,-2.55,-1.67,-0.11,0.03,0.00,0
0,1783,1502,894,1359,9.56,-2.48,-1.57,-0.12,0.03,-0.01,0
0,1792,1526,895,1389,9.56,-2.59,-1.64,-0.11,-0.00,0.00,0
0,1808,1501,897,1313,9.51,-2.50,-1.64,-0.10,0.02,-0.00,0
0,1779,1473,912,1326,9.54,-2.41,-1.70,-0.10,0.01,-0.01,0
0,1808,1486,889,1280,9.56,-2.53,-1.63,-0.09,-0.00,0.01,0
0,1766,1557,885,1293,9.52,-2.46,-1.66,-0.09,-0.01,-0.01,0
0,1737,1510,902,1274,9.47,-2.55,-1.80,-0.11,-0.01,0.01,0
0,1719,1483,917,1307,9.51,-2.47,-1.64,-0.10,0.01,-0.00,0
0,1754,1488,902,1267,9.50,-2.51,-1.67,-0.12,0.03,-0.01,0
0,1755,1466,912,1246,9.50,-2.52,-1.61,-0.10,0.02,-0.01,0
0,1741,1435,934,1295,9.55,-2.45,-1.60,-0.10,0.03,0.00,0
0,1728,1459,931,1315,9.56,-2.60,-1.65,-0.10,0.01,-0.01,0
0,1744,1411,911,1271,9.51,-2.47,-1.56,-0.10,0.01,-0.00,0
0,1744,1408,919,1232,9.50,-2.47,-1.53,-0.10,0.02,-0.01,0
0,1774,1424,907,1232,9.50,-2.60,-1.54,-0.10,0.02,-0.02,0
0,1762,1380,928,1239,9.55,-2.40,-1.58,-0.10,0.01,-0.01,0
0,1725,1369,899,1254,9.63,-2.54,-1.71,-0.09,0.02,-0.02,0
0,1733,1390,946,1259,9.57,-2.42,-1.72,-0.10,0.04,-0.01,0
0,1742,1360,914,1215,9.61,-2.52,-1.64,-0.07,0.00,-0.01,0
0,1744,1403,883,1207,9.56,-2.43,-1.52,-0.14,0.00,0.05,0
0,1719,1385,883,1250,9.48,-2.43,-2.04,-0.11,-0.02,-0.02,0
0,1673,1343,918,1248,9.56,-2.49,-1.96,-0.10,0.04,-0.03,0
0,1714,1387,912,1253,9.61,-2.46,-1.59,-0.08,0.08,-0.01,0
0,1708,1392,889,1245,9.53,-2.61,-1.76,-0.06,-0.01,-0.00,0
0,1703,1377,904,1259,9.59,-2.60,-1.82,-0.09,0.02,-0.00,0
0,1699,1361,862,1253,9.61,-2.46,-1.64,-0.06,0.02,-0.00,0
0,1711,1392,870,1212,9.56,-2.62,-1.63,-0.10,-0.01,0.02,0
0,1738,1351,862,1208,9.56,-2.73,-1.70,-0.09,0.01,0.01,0
0,1694,1366,881,1227,9.49,-2.65,-1.80,-0.07,-0.01,-0.01,0
0,1691,1337,880,1215,9.52,-2.68,-1.65,-0.09,0.02,-0.00,0
0,1683,1389,885,1183,9.53,-2.57,-1.82,-0.08,0.03,0.00,0
0,1681,1377,895,1168,9.48,-2.47,-1.43,-0.10,0.05,0.00,0
0,1694,1379,871,1168,9.48,-2.79,-1.65,-0.09,-0.01,-0.00,0
0,1725,1367,848,1187,9.37,-2.49,-1.78,-0.11,-0.00,-0.01,0
0,1741,1393,883,1179,9.66,-2.55,-1.75,-0.08,-0.01,-0.02,0
0,1700,1371,919,1279,9.49,-2.70,-1.66,-0.12,-0.00,-0.00,0
0,1728,1350,906,1279,9.54,-2.66,-1.81,-0.13,0.00,-0.01,0
0,1725,1322,921,1258,9.48,-2.61,-1.76,-0.10,0.00,-0.01,0
0,1731,1390,912,1226,9.40,-2.65,-1.83,-0.11,0.04,-0.01,0
0,1718,1356,931,1242,9.56,-2.60,-1.83,-0.14,0.03,0.00,0
0,1760,1388,940,1209,9.56,-2.46,-1.62,-0.10,0.04,-0.01,0
0,1734,1365,954,1203,9.49,-2.53,-1.71,-0.09,0.01,-0.01,0
0,1723,1354,960,1233,9.55,-2.56,-1.60,-0.09,0.00,0.00,0
0,1697,1359,960,1238,9.50,-2.53,-1.66,-0.10,0.01,-0.02,0
0,1686,1318,947,1200,9.48,-2.59,-1.65,-0.08,0.01,-0.01,0
0,1686,1346,923,1185,9.51,-2.51,-1.78,-0.09,0.01,-0.01,0
0,1721,1361,885,1222,9.36,-2.63,-1.72,-0.11,0.04,-0.02,0
0,1744,1307,866,1094,9.78,-2.87,-1.62,-0.01,0.09,0.04,0
0,1721,1321,847,1151,9.28,-1.53,-0.88,0.17,0.14,-0.29,0
0,1677,1308,816,1170,7.98,-1.36,-0.22,0.15,-0.17,0.35,0
0,1695,1328,834,1165,10.12,-3.60,-1.90,-0.18,-0.80,-0.07,0
0,1676,1313,821,1134,9.67,-2.63,-1.78,-0.13,-0.12,0.07,0
0,1683,1331,811,1109,9.28,-2.56,-1.63,-0.17,-0.08,0.09,0
0,1679,1296,817,1129,8.92,-2.94,-2.47,-0.25,-0.30,0.28,0
0,1726,1297,800,1101,8.67,-3.25,-3.52,-0.44,-0.07,0.35,0
0,1719,1289,783,1062,8.97,-4.12,-1.70,-0.23,0.05,0.18,0
0,1696,1271,816,1071,8.60,-3.85,-3.33,-0.42,-0.13,0.13,0
0,1677,1270,753,1043,7.93,-3.03,-3.23,-0.15,0.16,-0.09,0
0,1648,1231,800,979,9.72,-4.16,-4.78,-0.33,-0.58,0.31,0
0,1698,1238,773,958,8.23,-3.68,-3.68,-0.15,-0.14,-0.04,0
0,1669,1243,784,967,8.05,-3.71,-3.81,-0.07,0.03,0.02,0
0,1680,1245,767,920,8.26,-3.95,-3.45,-0.15,-0.01,0.03,0
0,1655,1250,782,928,8.20,-3.92,-3.55,-0.09,-0.08,-0.02,0
0,1709,1201,752,899,7.98,-3.90,-4.19,-0.10,-0.04,0.00,0
0,1685,1223,764,928,7.93,-3.85,-4.03,-0.08,-0.03,-0.02,0
0,1675,1229,743,924,7.92,-3.88,-4.00,-0.09,-0.04,-0.02,0
0,1682,1189,742,903,7.90,-3.91,-4.12,-0.06,-0.04,0.00,0
0,1654,1155,743,875,7.90,-4.00,-4.29,-0.13,0.02,0.01,0
0,1662,1207,733,859,7.82,-3.49,-4.13,-0.26,0.44,0.10,0
0,1658,1206,723,863,8.44,-4.29,-2.71,-0.15,0.36,0.11,0
0,1635,1214,740,886,8.50,-4.89,-2.92,0.02,0.17,-0.36,0
0,1621,1229,737,909,8.68,-3.68,-3.17,0.09,0.15,-0.53,0
0,1643,1214,738,879,8.52,-3.93,-3.28,0.20,0.16,-0.27,0
0,1614,1213,773,928,7.85,-3.14,-3.47,0.06,0.01,-0.13,0
0,1626,1243,755,922,8.55,-2.43,-3.44,-0.18,-0.00,0.13,0
0,1602,1169,714,912,9.20,-2.55,-1.41,0.01,-0.18,0.34,0
0,1614,1233,738,933,9.83,-3.70,-2.58,-0.05,-0.06,0.25,0
0,1621,1216,701,913,8.91,-5.10,-2.22,0.40,-0.07,-0.62,0
0,1531,1202,646,871,7.89,-2.30,-4.36,-0.48,-0.53,-0.37,0
0,1571,1247,654,885,8.41,-3.88,-2.69,0.02,-0.05,-0.20,0
0,1600,1220,686,878,9.64,-2.14,-2.98,0.16,0.50,-0.02,0
0,1602,1232,667,886,8.95,-1.74,-2.26,-0.25,0.22,0.01,0
0,1591,1133,693,853,9.46,-1.95,-2.35,-0.16,-0.03,0.28,0
0,1594,1178,700,877,8.84,-3.46,-2.83,-0.14,-0.21,0.39,0
0,1648,1189,638,807,8.29,-3.72,-3.87,-0.15,-0.14,0.08,0
0,1626,1229,642,784,8.18,-3.70,-4.21,-0.08,-0.08,-0.00,0
0,1610,1187,662,771,8.25,-3.51,-4.00,-0.01,0.07,-0.05,0
0,1622,1171,657,754,8.22,-3.62,-3.90,-0.11,0.12,-0.03,0
0,1618,1151,640,769,8.33,-3.51,-3.55,-0.13,0.12,0.01,0
0,1586,1142,645,791,8.31,-3.57,-3.58,-0.11,-0.08,0.01,0
0,1607,1168,640,735,8.20,-3.70,-3.96,-0.10,-0.09,0.02,0
0,1597,1158,615,749,8.03,-3.74,-3.97,-0.11,-0.07,0.00,0
0,1610,1155,633,738,8.06,-3.63,-4.00,-0.10,0.03,-0.02,0
0,1579,1169,636,750,8.11,-3.64,-3.93,-0.09,0.01,0.00,0
0,1578,1186,637,752,8.17,-3.65,-3.85,-0.11,0.00,0.01,0
0,1593,1155,642,773,8.12,-3.70,-3.83,-0.11,-0.03,0.02,0
0,1613,1187,633,741,8.03,-3.78,-4.03,-0.09,-0.04,0.02,0
0,1580,1168,647,770,8.01,-3.86,-4.07,-0.10,-0.04,-0.02,0
0,1610,1187,593,737,7.95,-3.68,-4.21,-0.09,-0.03,-0.02,0
0,1575,1152,592,733,7.94,-3.56,-4.18,-0.10,0.02,-0.01,0
0,1595,1145,592,737,8.00,-3.48,-4.32,-0.10,0.01,-0.02,0
0,1589,1151,613,750,8.03,-3.61,-3.96,-0.11,0.03,0.01,0
0,1584,1135,636,723,7.98,-3.48,-4.11,-0.11,0.01,-0.00,0
0,1552,1098,657,750,8.01,-3.75,-4.13,-0.08,0.01,-0.01,0
0,1559,1102,656,734,7.86,-3.74,-4.30,-0.09,0.00,-0.02,0
0,1584,1110,669,727,8.02,-3.61,-4.08,-0.10,0.00,0.03,0
0,1613,1114,654,686,7.97,-3.71,-4.20,-0.10,-0.02,0.06,0
0,1603,1130,678,693,7.83,-4.06,-4.34,-0.12,0.00,0.02,0
0,1611,1095,656,674,7.97,-3.82,-4.24,-0.09,0.01,0.02,0
0,1610,1115,659,678,7.86,-3.89,-4.29,-0.13,-0.08,0.04,0
0,1627,1094,629,661,7.76,-4.00,-4.32,-0.09,-0.03,-0.01,0
0,1642,1074,627,633,7.78,-3.82,-4.28,-0.10,-0.02,-0.01,0
0,1614,1078,611,647,7.71,-3.73,-4.46,-0.13,-0.02,-0.01,0
0,1597,1069,603,610,7.79,-3.80,-4.41,-0.09,0.03,-0.00,0
0,1589,1038,587,645,7.70,-4.10,-4.51,-0.10,0.03,0.03,0
0,1571,1045,618,637,7.76,-3.88,-4.39,-0.09,0.03,-0.02,0
0,1593,1046,574,623,7.75,-3.97,-4.36,-0.10,0.01,0.00,0
0,1581,1051,619,651,7.72,-3.77,-4.34,-0.11,-0.00,0.00,0
0,1590,1064,621,650,7.73,-3.90,-4.46,-0.09,-0.01,-0.01,0
0,1577,1086,633,645,7.69,-4.00,-4.39,-0.10,0.04,-0.01,0
0,1606,1058,601,651,7.69,-3.92,-4.32,-0.10,-0.01,-0.01,0
0,1569,1087,605,628,7.71,-3.91,-4.40,-0.10,0.01,-0.01,0
0,1557,1072,589,661,7.67,-4.00,-4.41,-0.11,-0.01,-0.01,0
0,1562,1040,598,686,7.74,-3.94,-4.41,-0.09,0.01,0.01,0
0,1536,979,528,710,7.59,-4.05,-4.42,-0.10,0.01,-0.00,0
0,1546,986,594,644,7.78,-3.89,-4.50,-0.10,0.02,0.00,0
0,1566,1038,598,619,7.73,-3.86,-4.38,-0.07,-0.00,-0.01,0
0,1569,1011,578,606,7.75,-4.00,-4.34,-0.10,0.03,-0.00,0
0,1526,983,574,617,7.46,-4.05,-4.73,-0.09,-0.05,-0.02,0
0,1557,983,555,605,7.73,-4.02,-4.26,-0.12,-0.05,0.02,0
0,1535,962,579,587,7.63,-3.75,-4.42,-0.11,0.03,0.03,0
0,1535,975,595,606,7.62,-3.97,-4.51,-0.11,0.06,0.01,0
0,1519,976,601,595,7.75,-3.99,-4.32,-0.08,-0.00,0.00,0
0,1520,978,570,614,7.61,-3.85,-4.47,-0.09,0.00,-0.01,0
0,1555,983,565,577,7.65,-3.94,-4.40,-0.11,0.06,0.01,0
0,1566,979,586,574,7.69,-3.87,-4.25,-0.09,0.02,-0.02,0
0,1549,981,586,580,7.75,-3.82,-4.47,-0.11,0.01,-0.00,0
0,1584,983,576,564,7.72,-3.97,-4.24,-0.09,-0.00,0.01,0
0,1525,995,593,569,7.69,-3.82,-4.49,-0.10,-0.02,-0.01,0
0,1581,975,577,559,7.73,-3.90,-4.55,-0.09,0.02,-0.01,0
0,1517,980,595,571,7.66,-3.83,-4.26,-0.11,0.02,-0.00,0
0,1557,939,573,588,7.69,-3.93,-4.38,-0.09,0.01,-0.02,0
0,1573,972,587,607,7.74,-3.90,-4.41,-0.08,-0.02,-0.01,0
0,1601,976,569,587,7.69,-4.03,-4.45,-0.07,0.04,-0.05,0
0,1535,971,589,590,7.75,-3.74,-4.44,-0.08,0.01,-0.03,0
0,1530,975,578,592,7.80,-3.98,-4.41,-0.06,0.01,-0.02,0
0,1588,976,560,582,7.71,-3.82,-4.26,-0.05,0.02,-0.09,0
0,1584,985,569,630,7.81,-3.77,-4.36,-0.01,-0.03,-0.10,0
0,1600,1005,560,595,7.88,-3.73,-4.35,0.04,0.01,-0.11,0
0,1561,977,575,593,7.85,-3.79,-4.21,0.07,-0.06,-0.14,0
0,1559,976,568,635,7.90,-3.77,-4.11,0.10,-0.08,-0.17,0
0,1569,993,583,649,7.92,-3.79,-4.15,0.11,-0.13,-0.19,0
0,1562,994,583,641,7.93,-3.74,-4.33,0.18,-0.13,-0.21,0
0,1552,976,585,629,7.98,-3.76,-4.09,0.23,-0.15,-0.25,0
0,1520,970,593,632,7.78,-4.00,-4.11,0.28,-0.23,-0.29,0
0,1555,1015,589,614,8.20,-3.73,-4.63,0.38,-0.28,-0.31,0
0,1533,961,589,592,7.74,-3.95,-4.43,0.36,-0.25,-0.35,0
0,1587,955,592,580,7.52,-3.88,-4.56,0.30,-0.21,-0.28,0
0,1561,934,592,607,7.56,-3.96,-4.72,0.27,-0.15,-0.21,0
0,1557,954,626,593,7.63,-4.14,-4.41,0.22,-0.10,-0.23,0
0,1567,946,629,561,7.58,-3.98,-4.50,0.14,-0.09,-0.27,0
0,1517,930,706,546,7.86,-3.65,-4.27,0.05,-0.06,-0.12,0
0,1520,967,638,561,7.47,-4.20,-4.65,0.07,-0.07,-0.09,0
0,1547,922,642,559,7.40,-4.06,-4.97,-0.01,0.03,-0.18,0
0,1484,901,671,579,7.50,-3.73,-4.53,0.04,0.12,-0.05,0
0,1523,952,649,547,7.74,-4.24,-4.08,-0.05,0.07,-0.05,0
0,1497,941,671,589,7.85,-4.27,-4.32,-0.08,0.11,-0.13,0
0,1487,977,670,579,8.11,-3.61,-4.30,-0.15,0.18,-0.10,0
0,1501,965,677,548,8.28,-3.45,-3.81,-0.17,0.26,-0.03,0
0,1488,927,661,555,8.38,-3.38,-3.29,-0.16,0.13,0.01,0
0,1521,962,638,532,8.37,-3.45,-3.37,-0.12,0.06,0.04,0
0,1494,959,624,554,8.14,-3.86,-3.82,-0.07,0.04,0.02,0
0,1510,951,638,566,8.39,-3.63,-3.45,-0.11,0.08,0.09,0
0,1509,960,658,558,8.18,-4.20,-3.33,-0.19,0.00,0.10,0
0,1527,937,647,527,8.09,-4.04,-3.82,-0.24,0.01,0.05,0
0,1499,951,673,540,8.03,-3.68,-4.09,-0.36,0.13,0.12,0
0,1344,912,720,591,8.66,-3.93,-4.58,-0.39,0.55,-0.02,0
0,1357,1089,837,593,8.53,-4.01,-3.40,-0.37,0.30,0.22,0
0,1407,1102,865,605,8.48,-3.90,-3.31,-0.59,0.25,0.29,0
0,1392,1103,881,774,8.31,-4.04,-3.25,-0.59,0.19,0.28,0
0,1380,1153,931,1115,8.62,-4.04,-3.54,-0.69,0.21,0.34,0
0,1509,1187,972,1045,8.57,-4.15,-3.56,-0.78,0.35,0.35,0
0,1486,1168,1105,1197,8.71,-4.29,-3.15,-0.79,0.36,0.44,0
0,1480,1104,1053,945,8.34,-4.16,-3.31,-0.89,0.44,0.30,0
0,1483,1074,1069,966,8.81,-3.69,-2.53,-0.77,0.53,0.28,0
0,1471,1095,1014,886,8.84,-3.56,-1.90,-0.77,0.38,0.28,0
0,1465,1079,911,610,8.84,-3.84,-2.56,-0.74,0.24,0.23,0
0,1407,1008,868,686,8.86,-3.57,-2.63,-0.62,0.21,0.26,0
0,1405,1072,827,624,8.95,-3.78,-2.29,-0.43,0.12,0.21,0
0,1434,1055,686,577,9.13,-3.79,-2.49,-0.26,0.08,0.09,0
0,1407,1074,711,608,8.95,-3.55,-2.35,-0.09,0.04,-0.03,0
0,1428,1090,738,618,8.85,-3.60,-2.53,-0.01,-0.09,-0.03,0
0,1415,1075,747,621,8.76,-3.72,-2.59,0.07,-0.08,-0.07,0
0,1488,1019,673,530,8.75,-3.81,-2.55,0.14,-0.18,-0.09,0
0,1424,961,627,528,8.25,-3.97,-3.54,0.28,-0.25,-0.19,0
0,1472,967,638,507,8.17,-4.00,-3.33,0.25,-0.22,-0.16,0
0,1447,968,627,521,8.20,-4.23,-3.53,0.24,-0.24,-0.20,0
0,1485,915,624,603,8.21,-3.86,-3.69,0.22,-0.19,-0.21,0
0,1445,935,644,654,8.27,-4.05,-3.41,0.23,-0.16,-0.21,0
0,1441,917,673,619,8.20,-3.90,-3.47,0.25,-0.19,-0.21,0
0,1405,912,685,630,8.18,-3.99,-3.58,0.22,-0.21,-0.17,0
0,1454,909,669,640,8.02,-4.13,-3.62,0.23,-0.20,-0.19,0
0,1456,912,668,615,7.92,-3.95,-3.79,0.16,-0.22,-0.15,0
0,1469,930,666,591,7.75,-4.17,-4.06,-0.01,-0.15,-0.07,0
0,1443,916,705,595,7.69,-4.17,-4.34,-0.18,-0.02,0.03,0
0,1453,914,688,609,7.73,-3.93,-4.46,-0.24,0.04,0.04,0
0,1454,921,677,645,7.61,-4.01,-4.53,-0.32,0.14,0.13,0
0,1456,923,666,645,7.64,-3.97,-4.37,-0.40,0.22,0.21,0
0,1463,911,671,613,7.82,-4.00,-4.17,-0.53,0.29,0.27,0
0,1471,930,675,614,7.89,-4.28,-3.88,-0.67,0.43,0.26,0
0,1495,958,654,541,8.24,-3.92,-3.67,-0.53,0.34,0.19,0
0,1459,942,677,545,8.77,-3.58,-2.65,-0.24,0.39,0.16,0
0,1471,912,655,546,8.78,-3.86,-2.36,-0.34,0.22,0.13,0
0,1489,947,647,541,8.67,-3.84,-2.79,-0.23,0.04,0.08,0
0,1501,922,635,510,8.65,-4.21,-3.00,-0.10,-0.17,0.09,0
0,1474,910,642,516,8.25,-3.76,-3.39,-0.10,-0.16,0.01,0
0,1471,925,669,523,8.43,-3.32,-3.15,-0.19,-0.20,0.29,0
0,1449,933,650,501,7.90,-4.10,-2.95,-0.31,-0.32,0.47,0
0,1457,930,647,511,7.29,-4.42,-4.31,-0.37,-0.44,0.43,0
0,1486,920,647,527,7.05,-5.59,-5.54,-0.66,-0.12,0.35,0
0,1455,910,694,623,7.57,-4.25,-5.02,-0.62,0.36,-0.26,0
0,1475,903,654,592,7.07,-3.70,-4.34,-0.39,0.39,-0.27,0
0,1479,923,654,502,7.33,-2.97,-3.61,-0.19,0.09,-0.19,0
0,1489,921,669,509,7.42,-4.08,-4.77,0.04,-0.34,-0.02,0
0,1501,944,671,609,6.89,-3.14,-6.01,-0.06,-0.27,-0.21,0
0,1487,902,662,569,6.48,-3.24,-6.03,0.05,-0.12,-0.06,0
0,1457,912,677,564,7.00,-3.51,-5.57,-0.09,-0.18,0.09,0
0,1458,921,665,581,7.24,-3.08,-5.88,-0.32,0.08,0.13,0
0,1477,913,641,589,7.25,-3.97,-4.63,-0.18,-0.02,0.07,0
0,1431,923,643,534,6.87,-4.03,-6.12,-0.01,-0.05,-0.33,0
0,1435,903,679,576,6.83,-3.10,-5.05,0.04,0.05,0.00,0
0,1447,907,671,545,7.38,-3.17,-5.26,-0.10,-0.05,0.09,0
0,1453,917,654,551,7.60,-3.40,-5.51,-0.10,0.01,-0.02,0
0,1430,912,681,562,7.26,-3.43,-4.96,0.00,0.08,-0.12,0
0,1453,923,656,541,7.28,-3.16,-4.61,0.04,-0.16,-0.13,0
0,1446,912,673,537,7.10,-3.52,-6.16,-0.08,-0.05,-0.20,0
0,1445,902,674,544,7.31,-2.76,-5.83,-0.01,-0.04,-0.06,0
0,1438,903,682,535,7.09,-3.35,-5.16,0.05,-0.10,-0.10,0
0,1454,914,670,505,6.73,-3.70,-5.49,0.18,-0.05,-0.09,0
0,1408,862,752,507,7.83,-3.43,-5.23,0.32,0.13,-0.09,0
0,1360,950,982,801,8.16,-3.78,-4.73,0.04,0.32,-0.01,0
0,1298,985,1003,1117,7.30,-3.78,-4.46,0.03,0.26,-0.11,0
0,1279,943,1083,1233,7.99,-3.93,-4.49,0.12,0.26,-0.10,0
0,1327,918,1072,1351,8.14,-3.95,-4.18,0.16,0.25,-0.16,0
