Thumb,Index,Middle,Ring,Pinky,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Letter
0,0,0,0,0,0.51,-8.36,8.32,0.07,-0.14,-0.02,A
0,1733,405,0,0,-0.61,-5.90,9.67,0.23,-0.62,-0.12,A
109,2775,2062,303,793,-0.37,-6.67,8.20,0.36,-0.11,0.07,A
0,742,621,0,48,0.88,-6.05,6.67,0.62,-0.11,0.18,A
0,0,0,0,0,0.08,-6.60,8.01,-0.04,0.01,0.14,A
0,2194,1008,0,0,0.11,-6.95,7.55,-0.44,0.02,-0.13,A
3,2158,1884,603,1474,-0.91,-6.28,5.80,0.20,-0.15,-0.08,A
0,0,0,0,0,-0.03,-8.84,8.71,0.02,0.06,0.31,A
64,0,0,0,0,0.20,-8.15,7.20,-0.68,-0.09,0.25,A
128,48,3,0,0,-0.36,-8.00,8.25,-4.14,1.06,0.99,A
1408,0,0,0,0,-1.35,-8.52,3.39,-2.22,0.87,0.22,A
1590,0,0,0,0,-1.78,-8.92,2.18,0.06,-0.13,-0.38,A
0,0,0,0,0,-0.13,-10.14,2.51,0.77,-0.48,-0.68,A
0,721,193,0,0,-0.16,-9.00,3.26,0.43,-0.03,-0.34,A
0,2015,1270,809,2666,-0.32,-10.84,4.56,0.37,-0.64,-0.19,A
0,658,428,1253,1491,-0.61,-9.50,2.77,-0.15,-0.16,0.24,A
0,113,610,1281,1493,-0.37,-9.85,2.96,0.29,-0.15,0.10,A
0,0,48,1141,1710,0.31,-9.33,4.77,1.37,-0.57,-0.61,A
0,0,1435,640,1897,-0.83,-9.96,4.84,0.21,0.04,-0.10,A
0,0,768,0,0,-1.23,-10.00,3.20,0.35,0.17,-0.27,A
0,1550,0,0,0,-0.05,-9.59,4.94,-0.01,-0.14,0.08,A
0,1381,0,0,0,-0.27,-9.68,4.39,-0.21,0.05,0.06,A
0,275,0,0,0,-0.04,-10.67,4.01,0.24,-0.06,-0.24,A
256,0,23,0,0,0.80,-10.52,5.15,-0.17,-0.31,0.26,A
0,0,0,0,0,-0.91,-8.35,3.67,0.36,-0.19,-0.73,A
182,0,0,0,0,-0.01,-9.36,3.90,-0.05,0.06,-0.10,A
3,0,31,0,0,0.03,-10.57,4.61,-0.56,-0.21,0.14,A
6,1264,877,128,0,0.17,-9.12,3.65,-0.04,-0.04,-0.01,A
0,2415,1776,336,0,-0.30,-8.71,3.57,-0.30,0.17,0.06,A
0,2857,2400,319,0,-0.56,-9.83,3.56,-0.40,0.32,0.00,A
0,2222,2180,959,1703,-0.88,-9.19,3.40,0.57,-0.33,-0.32,A
0,2224,1822,368,565,-0.25,-9.34,3.22,-0.55,0.44,-0.39,A
0,2283,2121,572,1219,-0.31,-8.66,3.87,0.06,0.10,-0.02,A
142,0,0,0,0,0.95,-10.23,6.02,0.59,-0.10,0.06,A
240,0,0,0,0,0.04,-9.32,4.54,-0.08,0.11,-0.03,A
0,0,0,0,0,-0.63,-11.39,3.75,-2.61,0.99,0.71,A
0,0,0,0,0,-1.49,-2.99,-3.40,-1.60,0.49,0.41,A
0,0,205,986,1107,-0.91,-8.68,0.11,2.90,-0.74,-1.16,A
0,0,417,1729,2458,0.20,-8.89,4.51,0.53,-0.44,-0.31,A
0,0,1894,1397,1551,-0.05,-8.38,4.38,0.98,0.41,-0.59,A
19,821,2194,766,452,0.34,-8.77,5.34,0.07,0.77,-0.10,A
0,2128,1264,0,0,0.41,-8.71,7.26,-0.55,0.34,-0.08,A
0,2115,560,0,16,0.01,-9.05,5.83,-0.41,0.04,-0.24,A
0,1131,325,0,150,0.81,-9.53,3.47,-0.41,-0.92,-0.02,A
0,0,0,0,0,1.31,-9.60,3.60,-0.60,-0.92,0.57,A
48,0,112,0,0,1.70,-9.11,6.20,-1.17,-0.28,0.08,A
0,3,48,0,0,0.90,-11.21,4.33,-2.60,0.38,0.65,A
951,0,0,0,0,0.98,-7.64,0.66,0.29,0.47,-0.73,A
1616,0,0,0,0,0.96,-8.85,1.79,0.07,0.38,-0.29,A
363,0,0,0,0,4.28,-9.03,1.55,0.09,-0.23,-0.04,A
143,0,0,0,0,3.09,-9.15,3.37,1.29,-0.20,-0.41,A
0,2497,1809,1251,2454,2.80,-7.49,5.66,0.63,-0.41,-0.15,A
0,1465,1162,394,654,3.40,-7.33,5.43,0.46,0.08,-0.05,A
449,64,98,0,0,0.61,-9.02,5.13,-2.60,0.38,0.34,A
1936,595,0,0,0,3.35,-7.24,-1.85,-4.37,3.12,0.43,A
1789,1053,53,0,0,4.17,-5.06,-4.74,-0.58,0.92,-0.53,A
0,2142,2093,700,751,3.96,-6.95,-5.84,0.37,0.18,-0.15,A
0,0,0,0,0,1.70,-8.98,-2.72,-0.43,0.02,0.00,A
0,0,0,0,0,1.57,-8.94,-3.63,0.34,0.06,-0.20,A
0,0,0,0,0,2.69,-9.21,-1.92,1.82,0.05,-0.88,A
0,0,0,0,0,5.14,-9.41,4.18,2.38,-0.32,-1.15,A
0,0,0,0,0,5.14,-7.64,5.53,0.40,-0.10,-0.29,A
0,0,0,0,0,5.16,-6.97,4.68,-0.36,-0.16,0.18,A
0,0,0,0,0,5.04,-8.20,4.38,-0.15,-0.31,0.15,A
0,0,0,0,0,5.40,-8.57,3.57,-0.05,-0.38,0.13,A
0,0,0,0,0,5.27,-8.86,3.59,-0.19,-0.33,0.12,A
0,0,0,0,0,5.13,-8.47,3.59,0.17,-0.38,-0.12,A
0,0,0,0,0,5.11,-8.55,3.45,0.44,-0.34,-0.51,A
0,0,0,0,0,6.76,-6.12,4.38,0.87,-0.37,-1.00,A
0,0,0,0,0,7.16,-5.87,5.07,-2.11,0.37,-0.13,A
0,0,0,0,0,9.50,-1.93,5.93,-4.37,1.17,1.35,A
0,0,0,0,0,6.63,-6.36,-0.53,-4.37,-0.86,0.98,A
0,0,0,0,0,3.91,-3.53,-7.63,-2.00,-0.94,-0.38,A
0,0,0,0,0,4.35,-1.94,-8.71,-1.41,-0.19,-0.37,A
0,0,0,0,0,4.61,-1.79,-8.32,-1.13,0.16,-0.06,A
0,0,0,0,0,4.40,-2.14,-7.93,-0.87,0.15,-0.03,A
0,0,0,0,0,5.49,-1.95,-8.16,0.42,0.35,-0.61,A
0,0,0,0,0,4.81,-1.38,-7.61,0.82,-0.25,-0.21,A
0,0,0,0,0,4.49,-2.20,-6.45,4.05,-0.65,-0.80,A
0,0,0,0,0,6.47,-9.27,-1.30,4.37,-0.54,-1.91,A
0,719,225,0,0,7.12,-6.33,0.39,2.21,0.74,-1.14,A
0,2083,1280,378,621,8.18,-5.47,2.13,0.96,0.46,-0.43,A
550,0,0,0,0,7.40,-5.00,5.32,1.01,-0.31,0.54,A
795,0,0,0,0,6.44,-5.48,4.65,0.82,0.11,0.50,A
