Thumb,Index,Middle,Ring,Pinky,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Letter
975,0,0,0,0,8.38,-0.24,-5.14,-0.27,-0.54,0.30,-30
972,0,0,0,0,18.39,-3.24,-3.32,0.02,-1.10,0.12,-30
1046,0,0,0,0,7.97,-2.56,-1.62,-0.02,-0.04,0.03,-30
1081,0,0,0,0,9.77,-2.84,-0.72,-0.08,0.04,0.05,-30
1083,0,0,0,0,9.63,-2.82,-1.06,-0.12,0.06,0.01,-30
1078,0,0,0,0,9.64,-2.88,-0.56,-0.06,-0.00,-0.04,-30
1066,0,0,0,0,9.58,-2.76,-0.97,0.00,-0.09,-0.06,-30
1071,0,0,0,0,9.68,-2.69,-1.15,-0.01,-0.05,-0.08,-30
1079,0,0,0,0,9.59,-2.56,-1.07,-0.05,-0.07,-0.00,-30
1064,0,0,0,0,9.64,-2.76,-1.53,-0.15,-0.06,-0.03,-30
1095,0,0,0,0,9.63,-2.46,-1.56,-0.13,0.05,-0.02,-30
1051,0,0,0,0,9.61,-2.67,-1.50,-0.13,-0.10,0.00,-30
1046,0,0,0,0,9.62,-2.63,-1.29,-0.09,0.03,-0.01,-30
1058,0,0,0,0,9.61,-2.44,-1.34,-0.07,-0.01,-0.01,-30
1020,0,0,0,0,9.56,-2.51,-1.36,-0.10,-0.04,0.03,-30
1062,0,0,0,0,9.96,-2.76,-1.07,0.09,-0.03,0.03,-30
1054,0,0,0,0,9.49,-3.14,-0.17,0.30,0.13,0.03,-30
1072,0,0,0,0,9.61,-2.72,-0.64,0.49,-0.15,-0.16,-30
1060,0,0,0,0,9.47,-2.64,-2.03,0.35,-0.16,-0.11,-30
1093,0,0,0,0,9.10,-3.17,-2.23,0.29,0.26,-0.03,-30
1088,0,0,0,0,9.55,-3.06,-1.35,-0.07,0.35,0.05,-30
1102,0,0,0,0,9.68,-3.28,-0.23,-0.43,0.07,0.17,-30
1061,0,0,0,0,9.76,-3.52,-1.04,-0.27,-0.08,-0.05,-30
1058,0,0,0,0,9.21,-3.27,-1.11,-0.04,0.10,-0.19,-30
1076,0,0,0,0,9.18,-1.76,-1.06,-0.07,0.01,0.02,-30
1041,0,0,0,0,10.09,-2.96,-0.28,-0.22,0.18,0.14,-30
1043,0,0,0,0,9.73,-3.59,-0.07,-0.14,0.05,0.04,-30
969,0,0,0,0,9.58,-2.71,-1.10,0.03,-0.12,-0.06,-30
1008,0,0,0,0,9.64,-2.95,-1.04,0.08,-0.07,-0.04,-30
965,0,0,0,0,9.68,-2.73,-1.10,0.11,0.04,-0.03,-30
1008,0,0,0,0,9.65,-2.70,-1.02,0.01,0.05,-0.02,-30
1004,0,0,0,0,9.40,-3.11,-1.43,0.02,0.08,0.01,-30
990,0,0,0,0,9.65,-3.04,-0.44,0.00,0.40,-0.03,-30
989,0,0,0,0,9.99,-2.86,0.52,-0.06,0.20,0.18,-30
994,0,0,0,0,9.71,-4.11,1.40,-0.20,-0.02,0.02,-30
995,0,0,0,0,9.62,-3.64,0.22,-0.01,-0.25,-0.15,-30
1045,0,0,0,0,9.49,-2.68,-0.54,0.01,-0.27,-0.25,-30
1073,0,0,0,0,10.14,-2.68,0.48,-0.08,0.13,-0.18,-30
1087,0,0,0,0,9.95,-2.69,0.12,-0.19,-0.07,-0.06,-30
1072,0,0,0,0,9.86,-2.40,0.14,0.01,-0.04,-0.19,-30
1066,0,0,0,0,9.74,-1.91,0.04,-0.09,0.03,-0.18,-30
1079,0,0,0,0,9.96,-2.21,-0.54,-0.13,-0.06,-0.05,-30
1043,0,0,0,0,9.90,-2.38,0.01,0.10,-0.03,-0.06,-30
1079,0,0,0,0,9.83,-1.73,0.23,0.00,0.01,-0.09,-30
1091,0,0,0,0,10.06,-2.17,0.61,0.03,0.03,0.09,-30
1042,0,0,0,0,9.88,-2.48,0.26,0.48,-0.11,-0.01,-30
1065,0,0,0,0,9.55,-2.74,-0.97,0.12,-0.39,-0.01,-30
1059,0,0,0,0,9.81,-2.43,-0.54,-0.18,0.19,-0.08,-30
1014,0,0,0,0,9.68,-2.02,0.50,0.11,0.17,0.03,-30
1029,0,0,0,0,10.09,-1.85,0.72,0.35,0.02,-0.12,-30
1014,0,0,0,0,9.74,-2.22,-0.09,-0.27,-0.09,-0.02,-30
1015,0,0,0,0,9.85,-2.44,-0.15,-0.11,-0.02,-0.06,-30
1030,0,0,0,0,9.79,-2.58,-0.40,0.08,-0.11,-0.02,-30
1008,0,0,0,0,9.69,-2.19,-1.02,0.27,-0.11,-0.02,-30
987,0,0,0,0,9.92,-2.20,-0.59,-0.02,-0.02,0.00,-30
1023,0,0,0,0,9.73,-2.54,-0.48,-0.26,0.16,0.13,-30
1056,0,0,0,0,9.82,-2.34,-0.21,-0.15,0.00,-0.08,-30
1088,0,0,0,0,9.87,-1.79,-0.47,-0.06,-0.02,-0.04,-30
1077,0,0,0,0,9.91,-2.02,-0.68,-0.12,-0.01,0.04,-30
1037,0,0,0,0,9.84,-2.14,-0.33,-0.10,0.04,0.02,-30
1012,0,0,0,0,9.91,-2.15,-0.38,-0.09,-0.00,-0.05,-30
1040,0,0,0,0,9.99,-2.24,-0.46,-0.07,-0.02,-0.04,-30
1021,0,0,0,0,9.84,-2.09,-0.37,-0.04,-0.01,-0.04,-30
1028,0,0,0,0,9.69,-2.43,-0.97,-0.19,-0.01,0.03,-30
1050,0,0,0,0,9.86,-1.73,-0.37,-0.08,-0.09,-0.02,-30
1023,0,0,0,0,9.98,-1.75,-0.78,-0.08,-0.00,-0.00,-30
1006,0,0,0,0,9.87,-1.96,-0.53,-0.08,-0.00,0.02,-30
1023,0,0,0,0,9.89,-2.19,-0.79,-0.10,0.00,0.03,-30
1022,0,0,0,0,9.84,-2.09,-0.64,-0.12,0.05,-0.01,-30
1054,0,0,0,0,9.83,-2.20,-0.85,-0.11,-0.05,-0.02,-30
1051,0,0,0,0,9.90,-1.91,-0.53,-0.12,0.03,0.00,-30
991,0,0,0,0,9.87,-1.98,-0.81,-0.09,0.01,-0.01,-30
1008,0,0,0,0,9.85,-2.03,-0.67,-0.10,0.04,0.01,-30
1006,0,0,0,0,9.85,-2.16,-0.60,-0.09,0.02,0.00,-30
982,0,0,0,0,9.82,-2.07,-0.64,-0.11,0.01,-0.02,-30
970,0,0,0,0,9.77,-1.93,-0.71,-0.09,-0.00,-0.02,-30
990,0,0,0,0,9.92,-1.98,-0.61,-0.09,0.01,-0.01,-30
967,0,0,0,0,9.92,-2.01,-0.69,-0.08,0.00,-0.02,-30
912,0,0,0,0,9.84,-1.99,-0.75,-0.09,0.01,-0.02,-30
975,0,0,0,0,9.84,-2.06,-0.71,-0.08,0.01,-0.01,-30
