Thumb,Index,Middle,Ring,Pinky,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Letter
0,0,0,0,0,-5.74,-0.72,-6.69,-0.09,0.06,-0.03,S
0,0,0,0,0,-5.58,-0.81,-6.67,-0.06,0.02,-0.03,S
0,0,0,0,0,-6.10,-0.56,-6.65,-0.06,-0.06,0.02,S
0,0,0,0,0,-5.86,-0.77,-6.64,-0.04,-0.01,-0.04,S
0,0,0,0,0,-5.84,-0.85,-6.61,-0.15,0.08,-0.01,S
0,0,0,0,0,-5.83,-0.63,-6.58,-0.07,-0.05,-0.01,S
0,0,0,0,0,-5.90,-0.82,-6.65,-0.10,0.02,-0.01,S
0,0,0,0,0,-5.88,-0.80,-6.56,-0.10,0.03,-0.01,S
0,0,0,0,0,-5.89,-0.77,-6.73,-0.11,0.02,-0.00,S
0,0,0,0,0,-5.85,-0.70,-6.60,-0.11,0.02,-0.00,S
0,0,0,0,0,-5.86,-0.79,-6.65,-0.11,0.02,0.00,S
0,0,0,0,0,-6.19,-0.60,-6.90,-0.11,0.14,0.03,S
0,0,0,0,0,-5.87,-0.57,-6.77,-0.15,0.03,0.05,S
0,0,0,0,0,-5.78,-0.66,-6.77,-0.11,0.02,-0.00,S
0,0,0,0,0,-5.70,-0.60,-6.66,-0.09,0.07,-0.02,S
0,0,0,0,0,-5.66,-0.61,-6.51,-0.08,0.10,-0.04,S
0,0,0,0,0,-5.82,-0.69,-6.84,-0.04,-0.00,-0.04,S
0,0,0,0,0,-5.71,-0.78,-6.70,-0.06,-0.00,-0.02,S
0,0,0,0,0,-5.73,-0.68,-6.82,-0.03,0.04,-0.02,S
0,0,0,0,0,-5.71,-0.70,-6.85,-0.02,0.09,-0.04,S
0,0,0,0,0,-5.63,-1.17,-6.69,-0.08,0.07,-0.00,S
0,0,0,0,0,-5.65,-0.94,-7.06,-0.15,0.08,0.04,S
0,0,0,0,0,-5.65,-0.67,-7.04,-0.11,0.02,0.02,S
0,0,0,0,0,-5.65,-0.66,-6.82,-0.06,0.02,0.01,S
0,0,0,0,0,-5.74,-0.92,-6.84,-0.01,0.22,0.03,S
0,0,0,0,0,-5.43,-0.76,-6.85,-0.13,0.01,-0.02,S
0,0,0,0,0,-5.40,-0.79,-7.01,-0.01,0.06,0.06,S
0,0,0,0,0,-5.60,-0.88,-6.86,-0.08,0.10,0.07,S
0,0,0,0,0,-6.84,-1.04,-7.82,0.21,0.37,-0.11,S
0,0,0,0,0,-5.51,-0.11,-7.70,0.32,1.36,-0.71,S
0,11,0,0,0,-1.89,-2.03,-6.64,0.35,0.42,-0.77,S
0,0,0,0,0,-3.01,-2.89,-8.86,-0.22,1.05,-0.38,S
0,849,0,0,0,-1.04,-3.34,-8.67,0.92,2.66,0.11,S
0,1312,0,0,0,1.47,-3.88,-7.73,0.61,1.04,0.29,S
0,1395,0,0,0,1.32,-4.55,-7.26,-0.06,0.38,0.01,S
0,1562,23,0,0,1.36,-4.58,-7.91,-0.11,0.19,-0.03,S
0,1575,94,0,0,1.52,-4.82,-7.81,-0.13,0.02,0.05,S
0,1885,159,0,0,1.44,-5.09,-7.57,-0.02,-0.02,-0.02,S
0,1953,130,0,0,1.47,-4.40,-7.94,-0.06,-0.04,-0.02,S
29,2097,113,0,0,1.19,-4.79,-7.26,-0.07,-0.01,-0.06,S
135,2208,151,0,0,1.41,-4.66,-7.79,-0.01,0.12,-0.05,S
